,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Qaanaaq,77.484,-69.3632,-1.59,59,0,7.87,GL,1635044591
1,Mehamn,71.0357,27.8492,36.5,63,98,18.39,NO,1635044591
2,Rikitea,-23.1203,-134.9692,74.91,79,100,19.22,PF,1635044586
3,Sibu,2.3,111.8167,85.17,70,91,2.06,MY,1635044660
4,Puerto Ayora,-0.7393,-90.3518,68.88,89,79,7.85,EC,1635044661
5,Korla,41.7597,86.1469,51.85,34,50,4.09,CN,1635044629
6,Ende,-8.8432,121.6623,89.96,57,82,5.77,ID,1635044661
7,Cape Town,-33.9258,18.4232,55.11,75,20,6.91,ZA,1635044120
8,Chokurdakh,70.6333,147.9167,-2.11,97,99,5.48,RU,1635044662
9,Bredasdorp,-34.5322,20.0403,49.28,69,69,2.19,ZA,1635044585
10,Cururupu,-1.8283,-44.8683,75.78,92,100,2.86,BR,1635044662
11,São Filipe,14.8961,-24.4956,78.53,68,10,9.1,CV,1635044570
12,Yellowknife,62.456,-114.3525,41.56,83,100,17.0,CA,1635044632
13,Bluff,-46.6,168.3333,52.32,94,100,5.99,NZ,1635044571
14,Marsh Harbour,26.5412,-77.0636,80.4,74,49,11.43,BS,1635044465
15,Busselton,-33.65,115.3333,76.05,58,99,7.49,AU,1635044664
16,Vaini,-21.2,-175.2,72.57,63,68,18.95,TO,1635044537
17,Port Blair,11.6667,92.75,83.1,70,100,4.61,IN,1635044546
18,Saint-Philippe,-21.3585,55.7679,74.75,82,40,13.56,RE,1635044517
19,Olafsvik,64.8945,-23.7142,44.87,84,100,11.95,IS,1635044605
20,Khatanga,71.9667,102.5,6.8,92,95,16.02,RU,1635044572
21,Punta Arenas,-53.15,-70.9167,37.11,86,100,17.09,CL,1635044623
22,Nautla,20.2167,-96.7833,76.3,85,89,1.81,MX,1635044666
23,Saint Paul Harbor,57.79,-152.4072,42.4,87,98,26.89,US,1635044611
24,Albany,42.6001,-73.9662,46.81,82,60,4.94,US,1635044415
25,Arrondissement du Havre,49.5833,0.3333,44.37,87,0,5.75,FR,1635044667
26,Souillac,-20.5167,57.5167,77.36,70,24,10.94,MU,1635044574
27,Jiayuguan City,39.8167,98.3,46.0,32,45,3.2,CN,1635044584
28,Ribeira Grande,38.5167,-28.7,67.08,63,64,11.14,PT,1635044668
29,Kaitangata,-46.2817,169.8464,58.98,70,84,6.44,NZ,1635044520
30,Kahului,20.8947,-156.47,78.96,79,14,8.99,US,1635044409
31,Faanui,-16.4833,-151.75,76.87,85,82,15.03,PF,1635044604
32,Talnakh,69.4865,88.3972,23.02,90,100,5.93,RU,1635044479
33,Paka,4.6374,103.4368,85.3,68,86,3.85,MY,1635044669
34,Barrow,71.2906,-156.7887,30.22,80,90,14.97,US,1635044519
35,Changping,40.2186,116.2197,55.04,48,0,4.0,CN,1635044670
36,Bambous Virieux,-20.3428,57.7575,77.22,71,90,12.59,MU,1635044670
37,Mar del Plata,-38.0023,-57.5575,50.88,74,1,1.01,AR,1635044545
38,Dikson,73.5069,80.5464,9.19,86,100,15.61,RU,1635044282
39,Svobodnyy,51.4,128.1333,48.02,53,7,3.27,RU,1635044671
40,Sterling,39.0062,-77.4286,55.4,85,75,5.99,US,1635044665
41,Tuktoyaktuk,69.4541,-133.0374,24.64,93,75,4.7,CA,1635044586
42,Selikhino,50.3672,137.4996,43.88,72,7,7.58,RU,1635044672
43,Avarua,-21.2078,-159.775,75.25,53,75,5.75,CK,1635044304
44,Sinnamary,5.3833,-52.95,78.4,86,93,10.02,GF,1635044602
45,Ushuaia,-54.8,-68.3,33.46,80,75,11.5,AR,1635044673
46,Longyearbyen,78.2186,15.6401,15.64,86,0,8.05,SJ,1635044673
47,Ubari,26.5921,12.7805,77.74,17,15,13.71,LY,1635044674
48,Hermanus,-34.4187,19.2345,54.9,71,23,4.9,ZA,1635044597
49,Lebu,-37.6167,-73.65,48.81,93,13,5.59,CL,1635044520
50,Boa Viagem,-5.1275,-39.7322,75.99,74,26,5.32,BR,1635044674
51,Mataura,-46.1927,168.8643,66.97,56,99,3.89,NZ,1635044579
52,Esperance,-33.8667,121.9,73.87,39,15,12.55,AU,1635044616
53,Bara,10.3744,10.7288,74.84,84,95,3.85,NG,1635044675
54,Fairbanks,64.8378,-147.7164,34.21,82,1,0.0,US,1635044676
55,Nikolskoye,59.7035,30.7861,34.39,91,72,8.16,RU,1635044577
56,Saldanha,-33.0117,17.9442,56.43,72,0,8.7,ZA,1635044554
57,Port Elizabeth,-33.918,25.5701,56.19,68,3,10.45,ZA,1635044424
58,Mahébourg,-20.4081,57.7,77.25,71,77,12.8,MU,1635044607
59,Raahe,64.6833,24.4833,15.89,70,60,5.21,FI,1635044677
60,Roebourne,-20.7833,117.1333,91.65,24,17,18.19,AU,1635044678
61,Kapaa,22.0752,-159.319,82.38,81,75,1.01,US,1635044292
